Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Maruti Suzuki Swift Dzire VDI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vdi-cars-Kolkata_5ada2cac-064d-4a44-abf8-16e7ca70e493.htm,2.20L,2013,"90,000 kms",Diesel,Manual,"Thakurpukur, Kolkata","AI Expert
BELOW MARKET
2nd owner, 90k km on this Swift Dzire — key checks are clear.
Simple to run, easy to park.
Read full report",₹2.20 Lakh,"90,000 km",,Diesel,Manual,2nd Owner
Hyundai Creta S Plus Knight,https://www.cardekho.com/used-car-details/used-Hyundai-creta-s-plus-knight-cars-Kolkata_e098b4f2-2c7f-4a4a-9db9-7f3cebabd76d.htm,10.49L,2023,"12,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
GREAT PRICE
2nd owner, 12k km — papers are clean on this Creta.
Price dropped ₹50k — now at ₹10.5L.
Read full report",₹10.49 Lakh,"12,000 km
Below avg","EMI from ₹26,037/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Celerio X ZXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-cars-Kolkata_9723019c-79f4-4d29-b49b-f93bc238a034.htm?adId=32162&adType=41,4.05L,2021,"50,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — key checks pass on this Celerio X.
Maruti service is available in almost every city and town.
Read full report",₹4.05 Lakh,"50,000 km","EMI from ₹10,053/mo",Petrol,Manual,1st Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Maruti Suzuki Swift Dzire VDI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vdi-cars-Kolkata_182facb7-deb5-4d24-88db-11e8a59b05e3.htm,4.34L,2017,"58,000 kms",Diesel,Manual,"Sarat Bose Road, Kolkata","AI Expert
GREAT PRICE
1st owner, 58k km — history looks solid on this Swift Dzire.
Maruti service is available in almost every city and town.
Read full report",₹4.34 Lakh,"58,000 km","EMI from ₹13,445/mo",Diesel,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_04bedd44-466a-4ce9-a2a6-d8d1cd135771.htm,2.75L,2018,"52,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 52k km — history looks solid on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.75 Lakh,"52,000 km","EMI from ₹6,826/mo",Petrol,Manual,1st Owner
Mahindra XUV 3XO AX5 L Turbo,https://www.cardekho.com/used-car-details/used-Mahindra-xuv-3xo-ax5-l-turbo-cars-Kolkata_64340843-d7b0-4832-a694-573a69127bfe.htm,10.50L,2025,"2,750 kms",Petrol,Manual,"Entally, Kolkata","AI Expert
GREAT PRICE
1st owner, 3k km — key checks pass on this XUV 3XO.
Only 1 year old — near-new at used-car pricing.
Read full report",₹10.50 Lakh,"2,750 km
Below avg","EMI from ₹26,062/mo",Petrol,Manual,1st Owner
Hyundai Verna SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-cars-Kolkata_a8631b74-b794-454c-8b15-22648e6db5e6.htm?adId=31023&adType=41,7.99L,2021,"22,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — history looks solid on this Verna.
Hyundai has a wide service network across India.
Read full report",₹7.99 Lakh,"22,000 km
Below avg","EMI from ₹19,835/mo",Petrol,Manual,1st Owner
Maruti Suzuki Baleno Alpha Diesel,https://www.cardekho.com/used-car-details/used-Maruti-baleno-alpha-diesel-cars-Kolkata_1173b8a8-7ecc-4c4b-9db7-27aa40bb23ed.htm,6.18L,2021,"52,400 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 52k km — records look solid on this Baleno.
Comprehensive insurance — valid till May 2027.
Read full report",₹6.18 Lakh,"52,400 km","EMI from ₹15,339/mo",Diesel,Manual,1st Owner
Hyundai Creta N Line N10 DCT,https://www.cardekho.com/used-car-details/used-Hyundai-creta-n-line-n10-dct-cars-Kolkata_def5f0a8-022d-484d-a465-04c88382673c.htm,16.95L,2024,"14,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 14k km — ownership is clean on this Creta N Line.
2 year old, only 14k km — near-new in every sense.
Read full report",₹16.95 Lakh,"14,000 km
Below avg","EMI from ₹42,071/mo",Petrol,Automatic,1st Owner
Hyundai Grand i10 1.2 Kappa Asta,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-asta-cars-Kolkata_39463eef-44e7-4899-b62c-5d862cf33ffd.htm,2.83L,2014,"27,393 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 27k km — key checks pass on this Grand i10.
Only 27k km — lower than 80% of similar Grand i10s on CarDekho.
Read full report",₹2.83 Lakh,"27,393 km
Below avg",,Petrol,Manual,2nd Owner
Hyundai Aura S AMT,https://www.cardekho.com/used-car-details/used-Hyundai-aura-s-amt-cars-Kolkata_c13f913e-eb5d-4c14-8408-e1c02c2178cf.htm?adId=33050&adType=41,6.55L,2022,"13,533 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 14k km — history looks clean on this Aura.
Only 14k km — lower than 98% of similar Auras on CarDekho.
Read full report",₹6.55 Lakh,"13,533 km
Below avg","EMI from ₹16,258/mo",Petrol,Automatic,1st Owner
Hyundai Verna EX,https://www.cardekho.com/buy-used-car-details/used-Hyundai-verna-ex-cars-Kolkata_13ab2753-b57d-4bb2-8f8a-ffb57c063f79.htm,4.88L,2018,"87,080 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 87k km — records look solid on this Verna.
300-point inspection done. Warranty included.
Read full report",₹4.88 Lakh,"87,080 km","EMI from ₹12,113/mo",Petrol,Manual,1st Owner
Honda Amaze VX Petrol,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-petrol-cars-Kolkata_c85e6e24-952d-4915-9aa8-6dcff67f325d.htm,4.85L,2021,"45,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — history looks clean on this Amaze.
Simple to run, easy to park.
Read full report",₹4.85 Lakh,"45,000 km
Below avg","EMI from ₹12,038/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift ZXI BSVI,https://www.cardekho.com/used-car-details/used-Maruti-swift-zxi-bsvi-cars-Kolkata_1db1ffdc-a684-4886-9a15-2db11acad389.htm,5L,2021,"10,000 kms",Petrol,Manual,"Bonhooghly, Kolkata","AI Expert
BELOW MARKET
2nd owner, 10k km — key checks pass on this Swift.
Simple to run, easy to park.
Read full report",₹5 Lakh,"10,000 km
Below avg","EMI from ₹12,411/mo",Petrol,Manual,2nd Owner
Hyundai Verna SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-cars-Kolkata_a8631b74-b794-454c-8b15-22648e6db5e6.htm?adId=31023&adType=41,7.99L,2021,"22,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — history looks solid on this Verna.
Hyundai has a wide service network across India.
Read full report",₹7.99 Lakh,"22,000 km
Below avg","EMI from ₹19,835/mo",Petrol,Manual,1st Owner
Volkswagen Polo GT TSI,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-gt-tsi-cars-Kolkata_9ab83b9b-68e0-4cbc-9200-16c071ad07b8.htm,5.99L,2019,"39,000 kms",Petrol,Automatic,"Rash Behari Avenue, Kolkata","AI Expert
GREAT PRICE
1st owner, 39k km — ownership is clean on this Polo GT TSI.
Comprehensive insurance — valid till February 2027.
Read full report",₹5.99 Lakh,"39,000 km
Below avg","EMI from ₹14,868/mo",Petrol,Automatic,1st Owner
Honda Elevate ZX CVT Non RF,https://www.cardekho.com/buy-used-car-details/used-Honda-elevate-zx-cvt-non-rf-cars-Kolkata_86bff0d0-9826-4315-b029-12e05369fdcc.htm,10.82L,2023,"37,974 kms",Petrol,Automatic,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — documents are clean on this Elevate.
300-point inspection done. Warranty included.
Read full report",₹10.82 Lakh,"37,974 km","EMI from ₹26,855/mo",Petrol,Automatic,1st Owner
Tata Altroz XM,https://www.cardekho.com/used-car-details/used-Tata-altroz-xm-cars-Kolkata_4b4199c9-8527-4d24-9b1c-cbace70e51c1.htm,4.49L,2020,"34,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 34k km — history looks solid on this Altroz.
Tata has a wide service network and reliable after-sales support.
Read full report",₹4.49 Lakh,"34,000 km
Below avg","EMI from ₹11,148/mo",Petrol,Manual,1st Owner
Jaguar XF 2.0 Petrol Portfolio,https://www.cardekho.com/used-car-details/used-Jaguar-xf-20-petrol-portfolio-cars-Kolkata_3889bae5-ad51-438f-ac50-74f9142a7075.htm?adId=32131&adType=41,16L,2017,"40,000 kms",Petrol,Automatic,"Canal Circular Road, Phool Bagan, Kankurgachi, Kolkata","AI Expert
GREAT PRICE
4th owner, no accident, 40k km — records are clear on this XF.
Simple to run, easy to park.
Read full report",₹16 Lakh,"40,000 km","EMI from ₹49,567/mo",Petrol,Automatic,4th Owner
Mahindra Bolero B6 Opt BSVI,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-b6-opt-bsvi-cars-Kolkata_00b2d5e6-0f76-41aa-914f-066cb905fb80.htm,8.37L,2022,"80,000 kms",Diesel,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 80k km — records look solid on this Bolero.
Mahindra service is easy to find.
Read full report",₹8.37 Lakh,"80,000 km","EMI from ₹20,775/mo",Diesel,Manual,1st Owner
Hyundai Creta SX Diesel,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-sx-diesel-cars-Kolkata_8b908304-7e08-4046-80da-e40e77e798c6.htm,9.50L,2022,"99,981 kms",Diesel,Manual,"E.K.T, Kolkata","AI Expert
BELOW MARKET
1st owner, 100k km — history is traceable on this Creta.
300-point inspection done. Warranty included.
Read full report",₹9.50 Lakh,"99,981 km","EMI from ₹23,569/mo",Diesel,Manual,1st Owner
Maruti Suzuki Swift VXI AMT BSVI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-amt-bsvi-cars-Kolkata_30ce5734-94c2-4ea0-b840-9bff9699c6ba.htm,5.75L,2021,"37,397 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
FAIR PRICE
1st owner, 37k km, no accident — key checks pass on this Swift.
Maruti service is available in almost every city and town.
Read full report",₹5.75 Lakh,"37,397 km
Below avg","EMI from ₹14,272/mo",Petrol,Automatic,1st Owner
Maruti Suzuki S-Presso VXI Plus 2019-2022,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-plus-2019-2022-cars-Kolkata_5060ccf9-61f3-458a-9843-7abca62c5a89.htm?adId=33175&adType=41,3.25L,2020,"32,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 32k km — history is traceable on this S-Presso.
Maruti service is available in almost every .
Read full report",₹3.25 Lakh,"32,000 km","EMI from ₹8,067/mo",Petrol,Manual,1st Owner
Mahindra KUV 100 mFALCON G80 K6 Plus,https://www.cardekho.com/used-car-details/used-Mahindra-kuv-100-mfalcon-g80-k6-plus-cars-Kolkata_7703fdd5-220b-4d26-8f23-9055e597aac7.htm,2.50L,2017,"50,000 kms",Petrol,Manual,"Laskarpur Road, Garia Gardens, Narkal Bagan, Kolkata","AI Expert
GREAT PRICE
3rd owner, 50k km — records look solid on this KUV 100.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹2.50 Lakh,"50,000 km","EMI from ₹7,745/mo",Petrol,Manual,3rd Owner
Mahindra XUV 3XO AX7 Turbo AT,https://www.cardekho.com/used-car-details/used-Mahindra-xuv-3xo-ax7-turbo-at-cars-Kolkata_5eb66f83-e75e-4dbb-b980-31386c124a29.htm,11.66L,2025,"10,000 kms",Petrol,Automatic,"Mahestala, Kolkata","AI Expert
GREAT PRICE
1st owner, 10k km — history looks clean on this XUV 3XO.
1 year old, only 10k km — near-new in every sense.
Read full report",₹11.66 Lakh,"10,000 km
Below avg","EMI from ₹28,941/mo",Petrol,Automatic,1st Owner
Mahindra KUV 100 NXT G80 K2 Plus,https://www.cardekho.com/used-car-details/used-Mahindra-kuv-100-nxt-g80-k2-plus-cars-Kolkata_38aaf984-1895-44eb-afd0-853ac493a490.htm,2.90L,2020,"68,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
2nd owner, 68k km on this KUV 100 NXT — records look solid.
Simple to run, easy to park.
Read full report",₹2.90 Lakh,"68,000 km","EMI from ₹7,198/mo",Petrol,Manual,2nd Owner
Renault KWID 1.0 RXT 02 Anniversary Edition,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-02-anniversary-edition-cars-Kolkata_d6d92127-e259-4bc7-83f8-1f5a18211acf.htm?adId=32802&adType=41,2.49L,2018,"37,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
1st owner, 37k km — history is traceable on this KWID.
Price dropped ₹16k — now at ₹2.5L.
Read full report",₹2.49 Lakh,"37,000 km","EMI from ₹6,181/mo",Petrol,Manual,1st Owner
Toyota Fortuner 2.8 2WD MT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-2wd-mt-bsiv-cars-Kolkata_24885486-077d-47c0-9fbe-e3b787b31e2c.htm,21.50L,2017,"1,12,000 kms",Diesel,Manual,"Cornelia Sorabji Road, Maidan, B.B.D. Bagh, Kolkata","AI Expert
GREAT PRICE
1st owner, no tampering — 112k km on this Fortuner.
Simple to run, easy to park.
Read full report",₹21.50 Lakh,"1,12,000 km","EMI from ₹66,605/mo",Diesel,Manual,1st Owner
Renault KWID 1.0 RXT,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-cars-Kolkata_349cb9a0-4997-4a7b-a108-87888a89207c.htm,2.50L,2017,"17,000 kms",Petrol,Manual,"Lake Market, Kolkata","AI Expert
FAIR PRICE
1st owner, no accident, 17k km — records look solid on this KWID.
Simple to run, easy to park.
Read full report",₹2.50 Lakh,"17,000 km
Below avg","EMI from ₹7,745/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 1.2 Kappa Sportz Option AT,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-option-at-cars-Kolkata_da078a19-bc3a-42da-bb11-c62fcfd14f38.htm,3.60L,2017,"34,000 kms",Petrol,Automatic,"Rash Behari Avenue, Kolkata","AI Expert
GREAT PRICE
1st owner, 34k km — history is traceable on this Grand i10.
Hyundai has a wide service network across India.
Read full report",₹3.60 Lakh,"34,000 km
Below avg","EMI from ₹11,153/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Celerio X ZXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-cars-Kolkata_9723019c-79f4-4d29-b49b-f93bc238a034.htm?adId=32162&adType=41,4.05L,2021,"50,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — key checks pass on this Celerio X.
Maruti service is available in almost every city and town.
Read full report",₹4.05 Lakh,"50,000 km","EMI from ₹10,053/mo",Petrol,Manual,1st Owner
MG Hector Savvy Pro CVT 2023-2025,https://www.cardekho.com/used-car-details/used-Mg-hector-savvy-pro-cvt-2023-2025-cars-Kolkata_e22148c3-b085-4d15-bf57-7e30bc53b534.htm,14.50L,2023,"27,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, no accident — ₹2.1L below what similar Hectors sell for.
₹2.1L below what similar Hectors sell for.
Read full report",₹14.50 Lakh,"27,000 km
Below avg","EMI from ₹35,990/mo",Petrol,Automatic,1st Owner
Maruti Suzuki XL6 Zeta,https://www.cardekho.com/used-car-details/used-Maruti-xl6-zeta-cars-Kolkata_e757d29f-5b4f-43fa-85d5-1de58b386c08.htm,9.50L,2023,"38,000 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — history is traceable on this XL6.
Comprehensive insurance — valid till March 2027.
Read full report",₹9.50 Lakh,"38,000 km","EMI from ₹23,580/mo",Petrol,Manual,1st Owner
Hyundai Aura SX Plus AMT Diesel,https://www.cardekho.com/used-car-details/used-Hyundai-aura-sx-plus-amt-diesel-cars-Kolkata_62b04f36-7273-4675-96c3-a5f9258f959a.htm,6.15L,2021,"51,460 kms",Diesel,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, km flagged — clean records on this Aura.
Hyundai has a wide service network across India.
Read full report",₹6.15 Lakh,"51,460 km","EMI from ₹15,268/mo",Diesel,Automatic,1st Owner
Tata Safari Accomplished Plus,https://www.cardekho.com/used-car-details/used-Tata-safari-accomplished-plus-cars-Kolkata_3527661d-988a-4708-ab96-b6c3c83c0c2a.htm?adId=32985&adType=41,16L,2023,"86,000 kms",Diesel,Manual,"Khiddirpore, Kolkata","AI Expert
FAIR PRICE
1st owner, no odometer tampering, 86k km on this Safari.
Tata has a wide service network and reliable after-sales support.
Read full report",₹16 Lakh,"86,000 km","EMI from ₹39,713/mo",Diesel,Manual,1st Owner
Volkswagen Polo 1.2 MPI Highline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-highline-cars-Kolkata_fcf818a1-2188-4b3d-ac3b-4d63417060f7.htm,3.20L,2014,"60,000 kms",Petrol,Manual,"Baghbazar, Kolkata","AI Expert
FAIR PRICE
3rd owner, 60k km on this Polo — key checks pass.
Simple to run, easy to park.
Read full report",₹3.20 Lakh,"60,000 km",,Petrol,Manual,3rd Owner
Tata Nexon XZA Plus HS AMT,https://www.cardekho.com/used-car-details/used-Tata-nexon-xza-plus-hs-amt-cars-Kolkata_41cd753f-3fbe-42cf-94d0-f5ebf01bfcd4.htm,8.50L,2022,"10,000 kms",Petrol,Automatic,"Haltu, Kolkata","AI Expert
FAIR PRICE
1st owner, no tampering, 10k km — history is traceable on this Nexon.
Only 10k km — lower than 88% of similar Nexons on CarDekho.
Read full report",₹8.50 Lakh,"10,000 km
Below avg","EMI from ₹21,098/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Ciaz 1.3 Alpha,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-13-alpha-cars-Kolkata_b20fa1de-9ac5-4156-95d6-7024eefed975.htm,5.50L,2017,"1,20,000 kms",Diesel,Manual,"Salt Lake City, Kolkata","AI Expert
ABOVE MARKET
1st owner, 120k km — ownership looks clean on this Ciaz.
Maruti service is available in almost every city and town.
Read full report",₹5.50 Lakh,"1,20,000 km","EMI from ₹17,039/mo",Diesel,Manual,1st Owner
Mahindra Scorpio S10 8 Seater,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s10-8-seater-cars-Kolkata_75a3ac82-58d1-4b69-af6f-628b058c7a54.htm?adId=32927&adType=41,8.25L,2016,"38,000 kms",Diesel,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 38k km on this Scorpio — papers look clean.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹8.25 Lakh,"38,000 km","EMI from ₹35,831/mo",Diesel,Manual,1st Owner
Maruti Suzuki Brezza VXi BSVI,https://www.cardekho.com/used-car-details/used-Maruti-brezza-vxi-bsvi-cars-Kolkata_6e4022b5-c8fc-4d6f-934c-b335e5833e01.htm,6.50L,2022,"39,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, 39k km — documents are clean on this Brezza.
₹1.1L below what similar Brezzas sell for.
Read full report",₹6.50 Lakh,"39,000 km
Below avg","EMI from ₹16,134/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift ZXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-zxi-cars-Kolkata_2ebb8a99-3e92-45ce-b2ba-9d02dcabc6ae.htm,2.60L,2012,"60,000 kms",Petrol,Manual,"Narendrapur, Kolkata","AI Expert
GREAT PRICE
2nd owner, 60k km — papers are clean on this Swift.
Simple to run, easy to park.
Read full report",₹2.60 Lakh,"60,000 km",,Petrol,Manual,2nd Owner
Honda Amaze V,https://www.cardekho.com/used-car-details/used-Honda-amaze-v-cars-Kolkata_bd0dc133-3eeb-4043-aa5a-5cc32b0d2fd8.htm,6.50L,2024,"20,924 kms",Petrol,Manual,"Beleghata, Kolkata","AI Expert
BELOW MARKET
1st owner, 21k km — key checks pass on this Amaze.
Comprehensive insurance — valid till May 2027.
Read full report",₹6.50 Lakh,"20,924 km
Below avg","EMI from ₹16,134/mo",Petrol,Manual,1st Owner
Hyundai i10 Magna 1.1L,https://www.cardekho.com/used-car-details/used-Hyundai-i10-magna-11l-cars-Kolkata_3a0aa2bf-79a4-4754-afbd-ed1b69073f2f.htm?adId=32163&adType=41,2.25L,2015,"15,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
BELOW MARKET
1st owner, 15k km, no accident on this i10 — papers are clean.
Only 15k km — lower than 96% of similar i10s on CarDekho.
Read full report",₹2.25 Lakh,"15,000 km
Below avg","EMI from ₹18,230/mo",Petrol,Manual,1st Owner
Hyundai Xcent Petrol,https://www.cardekho.com/used-car-details/used-Hyundai-xcent-petrol-cars-Kolkata_7b220d77-77d4-4705-b444-d7dc183447d9.htm,3.24L,2017,"52,949 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 53k km — ownership is clean on this Xcent.
300-point inspection done. Warranty included.
Read full report",₹3.24 Lakh,"52,949 km","EMI from ₹10,025/mo",Petrol,Manual,1st Owner
Honda WR-V i-VTEC VX,https://www.cardekho.com/used-car-details/used-Honda-wr-v-i-vtec-vx-cars-Kolkata_c07cadc1-91dc-43c6-a116-656280466034.htm,4.50L,2018,"34,000 kms",Petrol,Manual,"Unnamed Road, Nehali, Kolkata","AI Expert
GREAT PRICE
1st owner, no tampering, 34k km — records look solid on this WR-V.
Simple to run, easy to park.
Read full report",₹4.50 Lakh,"34,000 km
Below avg","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_49db83b1-7347-49d9-9cb8-5d247115c9c6.htm,2.35L,2015,"27,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 27k km — documents are clear on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.35 Lakh,"27,000 km
Below avg","EMI from ₹19,040/mo",Petrol,Manual,1st Owner
Jeep Compass 2.0 Limited 4X4,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-4x4-cars-Kolkata_acc9a013-6787-4bd8-9c51-f96295f63d7c.htm?adId=31987&adType=41,7.40L,2018,"48,000 kms",Diesel,Manual,"Middleton Row, Kolkata","AI Expert
GREAT PRICE
2nd owner, 48k km on this Compass — key checks pass.
Simple to run, easy to park.
Read full report",₹7.40 Lakh,"48,000 km","EMI from ₹18,367/mo",Diesel,Manual,2nd Owner
MG Hector Sharp AT BSIV,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-at-bsiv-cars-Kolkata_84375744-11cb-49cb-9cb3-1428f6dfc56d.htm,10.50L,2021,"16,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, 16k km, no accident — history looks solid on this Hector.
Only 16k km — lower than 92% of similar Hectors on CarDekho.
Read full report",₹10.50 Lakh,"16,000 km
Below avg","EMI from ₹26,062/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_79c0de19-9b44-4c39-9af4-801e0fae0317.htm,2.80L,2016,"30,000 kms",Petrol,Manual,"Haridevpur, Kolkata","AI Expert
GREAT PRICE
1st owner, 30k km — history looks clear on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.80 Lakh,"30,000 km","EMI from ₹12,159/mo",Petrol,Manual,1st Owner
Honda Amaze VX O i VTEC,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-o-i-vtec-cars-Kolkata_16cb6a61-5725-487e-a89b-1d5778a57132.htm,2.35L,2015,"60,000 kms",Petrol,Manual,"Haridevpur, Kolkata","AI Expert
BELOW MARKET
3rd owner, 60k km — key checks pass on this Amaze.
Honda engines are known to last well over high km.
Read full report",₹2.35 Lakh,"60,000 km","EMI from ₹19,040/mo",Petrol,Manual,3rd Owner
