Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Tata Curvv Accomplished Plus A Hyperion,https://www.cardekho.com/used-car-details/used-Tata-curvv-accomplished-plus-a-hyperion-cars-Kolkata_c1113c36-a11c-4c87-9730-381c5db0b7a4.htm,13.75L,2024,"5,600 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 6k km — history looks solid on this Curvv.
2 year old, only 6k km — near-new in every sense.
Read full report",₹13.75 Lakh,"5,600 km
Below avg","EMI from ₹34,128/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_10fd1f05-b63e-4a53-b56d-fd467268ed8c.htm,2.45L,2015,"45,233 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — history looks clear on this Wagon R.
Comprehensive insurance — valid till April 2027.
Read full report",₹2.45 Lakh,"45,233 km","EMI from ₹19,850/mo",Petrol,Manual,1st Owner
Hyundai Santro Sportz BSIV,https://www.cardekho.com/used-car-details/used-Hyundai-santro-sportz-bsiv-cars-Kolkata_47c01548-ce12-44dd-a1b0-2203fe9ad666.htm?adId=32944&adType=41,3.05L,2019,"30,000 kms",Petrol,Manual,"Sector III, Bidhannagar, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident, 30k km — records look solid on this Santro.
Simple to run, easy to park.
Read full report",₹3.05 Lakh,"30,000 km","EMI from ₹7,571/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_c1446947-02fa-4c68-8e54-96e07884fe04.htm,1.50L,2012,"30,000 kms",Petrol,Manual,Kolkata,"AI Expert
GREAT PRICE
1st owner, 30k km — history is clear on this Alto K10.
Only 30k km — lower than 80% of similar Alto K10s on CarDekho.
Read full report",₹1.50 Lakh,"30,000 km
Below avg",,Petrol,Manual,1st Owner
Ford Ecosport 1.5 Diesel Ambiente BSIV,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-diesel-ambiente-bsiv-cars-Kolkata_2730b912-c6b1-49ef-9075-9f4458f91f52.htm,3.40L,2017,"47,527 kms",Diesel,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 48k km — ownership is clean on this Ecosport.
Ford exited India in 2021 — verify parts availability first.
Read full report",₹3.40 Lakh,"47,527 km","EMI from ₹10,533/mo",Diesel,Manual,1st Owner
Honda City VX MT,https://www.cardekho.com/buy-used-car-details/used-Honda-city-vx-mt-cars-Kolkata_8940feed-fff3-41f4-9280-5ed0f01d537f.htm,7.76L,2022,"28,431 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 28k km — history looks solid on this City.
300-point inspection done. Warranty included.
Read full report",₹7.76 Lakh,"28,431 km
Below avg","EMI from ₹19,250/mo",Petrol,Manual,1st Owner
Jeep Meridian Limited Opt AT 4x4 BSVI,https://www.cardekho.com/used-car-details/used-Jeep-meridian-limited-opt-at-4x4-bsvi-cars-Kolkata_ef942e41-6366-428e-96e3-421d1385abd4.htm?adId=33119&adType=41,28L,2023,"50,000 kms",Diesel,Automatic,"Elliot Road, Kolkata","AI Expert
FAIR PRICE
2nd owner, 50k km — papers are clean on this Meridian.
Read the full verdict before you decide.
Read full report",₹28 Lakh,"50,000 km","EMI from ₹69,497/mo",Diesel,Automatic,2nd Owner
Maruti Suzuki Swift VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Kolkata_80567d4d-603e-495e-acee-77812b176c04.htm,2.15L,2012,"55,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
BELOW MARKET
1st owner, 55k km — key checks pass on this Swift.
Simple to run, easy to park.
Read full report",₹2.15 Lakh,"55,000 km",,Petrol,Manual,1st Owner
Jeep Compass 2.0 Limited Opt Diesel BSVI,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-opt-diesel-bsvi-cars-Kolkata_adec372b-7af0-45e3-ac59-1ed2dd8e4c3c.htm,10.50L,2021,"1,15,000 kms",Diesel,Manual,Kolkata,"AI Expert
GREAT PRICE
2nd owner, 115k km, no accident — key checks pass on this Compass.
Jeep Compass brings genuine off-road capability to the SUV space.
Read full report",₹10.50 Lakh,"1,15,000 km","EMI from ₹26,062/mo",Diesel,Manual,2nd Owner
Hyundai Alcazar Platinum 7-Seater Diesel BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-platinum-7-seater-diesel-bsvi-cars-Kolkata_6555b506-77df-4823-a23a-0716d06726ab.htm,12L,2021,"70,000 kms",Diesel,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
2nd owner, 70k km — key checks pass on this Alcazar.
Hyundai has a wide service network across India.
Read full report",₹12 Lakh,"70,000 km","EMI from ₹29,785/mo",Diesel,Manual,2nd Owner
